,Unnamed: 0,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
151,8576,2006-04-02,Widespread Dust,0.41463414634146345,0.0,0.0,0.18229166666666666,0.2238805970149258,0.0,0.0,32.0,0.0,0.0,0.03333333333333333,0.15,2006.0,4.0,13.0,2.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.5143902334072789,1.0,7,2,7,8,6,8.0,25
150,8572,2006-04-01,Haze,0.4878048780487805,0.0,0.0,0.31249999999999994,0.2313432835820901,0.0,0.0,26.0,0.0,0.0,0.03333333333333333,0.0,2006.0,4.0,13.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14644660940672605,0.14644660940672646,0.2500000000000001,0.9330127018922194,0.5143902334072789,1.0,9,6,8,8,1,6.0,26
151,8576,2006-04-02,Widespread Dust,0.41463414634146345,0.0,0.0,0.18229166666666666,0.2238805970149258,0.0,0.0,32.0,0.0,0.0,0.03333333333333333,0.15,2006.0,4.0,13.0,2.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.5143902334072789,1.0,7,2,7,8,6,8.0,26
152,8580,2006-04-03,Widespread Dust,0.3780487804878049,0.0,0.0,0.13541666666666669,0.2313432835820901,0.0,0.0,30.5,0.0,0.0,0.03333333333333333,0.1756756756756757,2006.0,4.0,14.0,3.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,6,1,8,8,7,7.0,26
153,8584,2006-04-04,Widespread Dust,0.4024390243902439,0.0,0.0,0.18229166666666669,0.22761194029850795,0.0,0.0,29.5,0.0,0.0,0.05,0.2,2006.0,4.0,14.0,4.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,6,2,8,13,7,7.0,26
154,8588,2006-04-05,Widespread Dust,0.3902439024390244,0.0,0.0,0.125,0.22014925373134364,0.0,0.0,33.0,0.0,0.0,0.05,0.35,2006.0,4.0,14.0,5.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,6,1,7,13,13,8.0,26
155,8592,2006-04-06,Widespread Dust,0.426829268292683,0.0,0.0,0.16145833333333331,0.22014925373134364,0.0,0.0,33.0,0.0,0.0,0.05,0.15,2006.0,4.0,14.0,6.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,7,2,7,13,6,8.0,26
156,8596,2006-04-07,Widespread Dust,0.3170731707317074,0.0,0.0,0.125,0.2089552238805972,0.0,0.0,33.0,0.0,0.0,0.03333333333333333,0.15,2006.0,4.0,14.0,7.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,3,1,6,8,6,8.0,26
157,8600,2006-04-08,Widespread Dust,0.426829268292683,0.0,0.0,0.16666666666666666,0.2014925373134333,0.0,0.0,34.0,0.0,0.0,0.05,0.05,2006.0,4.0,14.0,8.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,7,2,5,13,2,9.0,26
158,8604,2006-04-09,Widespread Dust,0.41463414634146345,0.0,0.0,0.08854166666666666,0.17537313432835866,0.0,0.0,37.5,0.0,0.0,0.03333333333333333,0.4,2006.0,4.0,14.0,9.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,7,0,2,8,14,10.0,26
157,8600,2006-04-08,Widespread Dust,0.426829268292683,0.0,0.0,0.16666666666666666,0.2014925373134333,0.0,0.0,34.0,0.0,0.0,0.05,0.05,2006.0,4.0,14.0,8.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,7,2,5,13,2,9.0,27
158,8604,2006-04-09,Widespread Dust,0.41463414634146345,0.0,0.0,0.08854166666666666,0.17537313432835866,0.0,0.0,37.5,0.0,0.0,0.03333333333333333,0.4,2006.0,4.0,14.0,9.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,7,0,2,8,14,10.0,27
159,8608,2006-04-10,Widespread Dust,0.4390243902439025,0.0,0.0,0.16145833333333334,0.21641791044776149,0.0,0.0,32.0,0.0,0.0,0.03333333333333333,0.1,2006.0,4.0,15.0,10.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,8,2,7,8,4,8.0,27
160,8612,2006-04-11,Widespread Dust,0.36585365853658536,0.0,0.0,0.17708333333333334,0.2238805970149258,0.0,0.0,27.0,0.0,0.0,0.03333333333333333,0.0,2006.0,4.0,15.0,11.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14644660940672605,0.14644660940672646,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,5,2,7,8,1,6.0,27
161,8616,2006-04-12,Widespread Dust,0.21951219512195125,0.0,0.0,0.0625,0.21641791044776149,0.0,0.0,30.5,0.0,0.0,0.05,0.1,2006.0,4.0,15.0,12.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,0,0,7,13,4,7.0,27
162,8620,2006-04-13,Widespread Dust,0.1585365853658537,0.0,0.0,0.078125,0.2388059701492544,0.0,0.0,29.5,0.0,0.0,0.05,0.1256756756756757,2006.0,4.0,15.0,13.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,0,0,9,13,5,7.0,27
163,8624,2006-04-14,Widespread Dust,0.17073170731707318,0.0,0.0,0.046875,0.2462686567164183,0.0,0.0,31.5,0.0,0.0,0.05,0.1,2006.0,4.0,15.0,14.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,0,0,10,13,4,8.0,27
164,8628,2006-04-15,Widespread Dust,0.18292682926829268,0.0,0.0,0.020833333333333332,0.22014925373134364,0.0,0.0,33.5,0.0,0.0,0.05,0.25,2006.0,4.0,15.0,15.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,0,0,7,13,9,8.0,27
165,8632,2006-04-16,Widespread Dust,0.3170731707317074,0.0,0.0,0.11979166666666664,0.2014925373134333,0.0,0.0,33.0,0.0,0.0,0.05,0.1,2006.0,4.0,15.0,16.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,3,1,5,13,4,8.0,27
164,8628,2006-04-15,Widespread Dust,0.18292682926829268,0.0,0.0,0.020833333333333332,0.22014925373134364,0.0,0.0,33.5,0.0,0.0,0.05,0.25,2006.0,4.0,15.0,15.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,0,0,7,13,9,8.0,28
165,8632,2006-04-16,Widespread Dust,0.3170731707317074,0.0,0.0,0.11979166666666664,0.2014925373134333,0.0,0.0,33.0,0.0,0.0,0.05,0.1,2006.0,4.0,15.0,16.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,3,1,5,13,4,8.0,28
166,8636,2006-04-17,Widespread Dust,0.3414634146341464,0.0,0.0,0.140625,0.22014925373134364,0.0,0.0,29.0,0.0,0.0,0.03333333333333333,0.25,2006.0,4.0,16.0,17.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,4,1,7,8,9,7.0,28
167,8640,2006-04-18,Widespread Dust,0.4634146341463415,0.0,0.0,0.22916666666666666,0.2388059701492544,0.0,0.0,29.5,0.0,0.0,0.03333333333333333,0.15135135135135136,2006.0,4.0,16.0,18.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,9,4,9,8,6,7.0,28
168,8644,2006-04-19,Haze,0.5121951219512195,0.0,0.0,0.22916666666666666,0.24626865671641876,0.0,0.0,32.0,0.0,0.0,0.03333333333333333,0.3,2006.0,4.0,16.0,19.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5000000000000001,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,10,4,10,8,11,8.0,28
169,8648,2006-04-20,Haze,0.5365853658536586,0.0,0.0,0.32291666666666663,0.25373134328358216,0.0,0.0,30.0,0.0,0.0,0.03333333333333333,0.0,2006.0,4.0,16.0,20.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14644660940672605,0.14644660940672646,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,11,6,11,8,1,7.0,28
170,8652,2006-04-21,Light Rain,0.3902439024390244,0.0,0.0,0.11458333333333336,0.2313432835820901,1.0,0.0,33.0,0.0,0.0,0.03333333333333333,0.15135135135135136,2006.0,4.0,16.0,21.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5000000000000001,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,6,1,8,8,6,8.0,28
171,8656,2006-04-22,Haze,0.3170731707317074,0.0,0.0,0.052083333333333336,0.21641791044776149,0.0,0.0,36.0,0.0,0.0,0.03333333333333333,0.3,2006.0,4.0,16.0,22.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5000000000000001,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,3,0,7,8,11,9.0,28
172,8660,2006-04-23,Widespread Dust,0.4878048780487805,0.0,0.0,0.16666666666666669,0.21641791044776149,0.0,0.0,34.0,0.0,0.0,0.025,0.17567567567567569,2006.0,4.0,16.0,23.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,9,2,7,6,7,9.0,28
171,8656,2006-04-22,Haze,0.3170731707317074,0.0,0.0,0.052083333333333336,0.21641791044776149,0.0,0.0,36.0,0.0,0.0,0.03333333333333333,0.3,2006.0,4.0,16.0,22.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5000000000000001,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,3,0,7,8,11,9.0,29
172,8660,2006-04-23,Widespread Dust,0.4878048780487805,0.0,0.0,0.16666666666666669,0.21641791044776149,0.0,0.0,34.0,0.0,0.0,0.025,0.17567567567567569,2006.0,4.0,16.0,23.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,9,2,7,6,7,9.0,29
173,8664,2006-04-24,Widespread Dust,0.5243902439024389,0.0,0.0,0.22916666666666666,0.2089552238805972,0.0,0.0,33.5,0.0,0.0,0.05,0.02567567567567568,2006.0,4.0,17.0,24.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,11,4,6,13,1,8.0,29
174,8668,2006-04-25,Widespread Dust,0.426829268292683,0.0,0.0,0.15625,0.19402985074626897,0.0,0.0,35.0,0.0,0.0,0.03333333333333333,0.1,2006.0,4.0,17.0,25.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,7,2,4,8,4,9.0,29
175,8672,2006-04-26,Widespread Dust,0.451219512195122,0.0,0.0,0.14583333333333334,0.2014925373134333,0.0,0.0,36.0,0.0,0.0,0.016666666666666666,0.1,2006.0,4.0,17.0,26.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,8,2,5,3,4,9.0,29
176,8676,2006-04-27,Widespread Dust,0.3414634146341464,0.0,0.0,0.08854166666666666,0.19402985074626897,0.0,0.0,36.0,0.0,0.0,0.05,0.15,2006.0,4.0,17.0,27.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,4,0,4,13,6,9.0,29
177,8680,2006-04-28,Widespread Dust,0.5121951219512195,0.0,0.0,0.15625,0.2014925373134333,0.0,0.0,36.5,0.0,0.0,0.03333333333333333,0.0,2006.0,4.0,17.0,28.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,10,2,5,8,1,9.0,29
178,8684,2006-04-29,Haze,0.7560975609756098,0.0,0.0,0.4791666666666666,0.20149253731343286,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.0,2006.0,4.0,17.0,29.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14644660940672605,0.14644660940672646,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,19,9,5,8,1,9.0,29
179,8688,2006-04-30,Widespread Dust,0.6097560975609757,0.0,0.0,0.2552083333333333,0.2089552238805972,0.0,0.0,35.5,0.0,0.0,0.025,0.1256756756756757,2006.0,4.0,17.0,30.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,14,4,6,6,5,9.0,29
180,10026,2007-04-01,Haze,0.5243902439024389,0.0,0.0,0.2395833333333333,0.25000000000000044,0.0,0.0,32.5,0.0,0.0,0.03333333333333333,0.1,2007.0,4.0,13.0,1.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.5143902334072789,1.0,11,4,10,8,4,8.0,30
179,8688,2006-04-30,Widespread Dust,0.6097560975609757,0.0,0.0,0.2552083333333333,0.2089552238805972,0.0,0.0,35.5,0.0,0.0,0.025,0.1256756756756757,2006.0,4.0,17.0,30.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.284338952479103,0.9515972400034104,14,4,6,6,5,9.0,31
180,10026,2007-04-01,Haze,0.5243902439024389,0.0,0.0,0.2395833333333333,0.25000000000000044,0.0,0.0,32.5,0.0,0.0,0.03333333333333333,0.1,2007.0,4.0,13.0,1.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.5143902334072789,1.0,11,4,10,8,4,8.0,31
181,10030,2007-04-02,Haze,0.3292682926829269,0.0,0.0,0.140625,0.2574626865671643,0.0,0.0,28.5,0.0,0.0,0.05,0.3756756756756757,2007.0,4.0,14.0,2.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,4,1,11,13,14,7.0,31
182,10034,2007-04-03,Haze,0.30487804878048785,0.0,0.0,0.11458333333333336,0.2462686567164183,0.0,0.0,29.0,0.0,0.0,0.05,0.4,2007.0,4.0,14.0,3.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,3,1,10,13,14,7.0,31
183,10038,2007-04-04,Haze,0.3170731707317073,0.0,0.0,0.11979166666666667,0.2462686567164183,0.0,0.0,30.5,0.0,0.0,0.05,0.5,2007.0,4.0,14.0,4.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,3,1,10,13,18,7.0,31
184,10042,2007-04-05,Haze,0.4024390243902439,0.0,0.0,0.15104166666666666,0.2462686567164183,0.0,0.0,32.0,0.0,0.0,0.05,0.3013513513513514,2007.0,4.0,14.0,5.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,6,2,10,13,11,8.0,31
185,10046,2007-04-06,Haze,0.426829268292683,0.0,0.0,0.17708333333333331,0.2388059701492544,0.0,0.0,32.0,0.0,0.0,0.05,0.25,2007.0,4.0,14.0,6.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,7,2,9,13,9,8.0,31
186,10050,2007-04-07,Haze,0.4878048780487805,0.0,0.0,0.2395833333333333,0.2313432835820901,0.0,0.0,30.5,0.0,0.0,0.03333333333333333,0.05,2007.0,4.0,14.0,7.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,9,4,8,8,2,7.0,31
187,10054,2007-04-08,Haze,0.4878048780487805,0.0,0.0,0.2395833333333333,0.238805970149254,0.0,0.0,30.0,0.0,0.0,0.03333333333333333,0.35,2007.0,4.0,14.0,8.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,9,4,9,8,13,7.0,31
186,10050,2007-04-07,Haze,0.4878048780487805,0.0,0.0,0.2395833333333333,0.2313432835820901,0.0,0.0,30.5,0.0,0.0,0.03333333333333333,0.05,2007.0,4.0,14.0,7.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,9,4,8,8,2,7.0,32
187,10054,2007-04-08,Haze,0.4878048780487805,0.0,0.0,0.2395833333333333,0.238805970149254,0.0,0.0,30.0,0.0,0.0,0.03333333333333333,0.35,2007.0,4.0,14.0,8.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,9,4,9,8,13,7.0,32
188,10058,2007-04-09,Haze,0.36585365853658536,0.0,0.0,0.109375,0.2313432835820901,0.0,0.0,32.0,0.0,0.0,0.05,0.40135135135135136,2007.0,4.0,15.0,9.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,5,1,8,13,14,8.0,32
189,10062,2007-04-10,Haze,0.41463414634146345,0.0,0.0,0.16666666666666669,0.22014925373134364,0.0,0.0,32.0,0.0,0.0,0.05,0.25,2007.0,4.0,15.0,10.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,7,2,7,13,9,8.0,32
190,10066,2007-04-11,Haze,0.4390243902439025,0.0,0.0,0.14583333333333331,0.2089552238805972,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.1256756756756757,2007.0,4.0,15.0,11.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,8,2,6,8,5,9.0,32
191,10070,2007-04-12,Haze,0.426829268292683,0.0,0.0,0.140625,0.2089552238805972,0.0,0.0,33.5,0.0,0.0,0.03333333333333333,0.15,2007.0,4.0,15.0,12.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,7,1,6,8,6,8.0,32
192,10074,2007-04-13,Haze,0.3902439024390244,0.0,0.0,0.125,0.22761194029850795,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.07567567567567568,2007.0,4.0,15.0,13.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,6,1,8,8,3,9.0,32
193,10078,2007-04-14,Haze,0.5243902439024389,0.0,0.0,0.2552083333333333,0.2313432835820901,0.0,0.0,33.5,0.0,0.0,0.03333333333333333,0.05,2007.0,4.0,15.0,14.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,11,4,8,8,2,8.0,32
194,10082,2007-04-15,Haze,0.5853658536585367,0.0,0.0,0.265625,0.23507462686567224,0.0,0.0,34.5,0.0,0.0,0.03333333333333333,0.05,2007.0,4.0,15.0,15.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,13,4,9,8,2,9.0,32
193,10078,2007-04-14,Haze,0.5243902439024389,0.0,0.0,0.2552083333333333,0.2313432835820901,0.0,0.0,33.5,0.0,0.0,0.03333333333333333,0.05,2007.0,4.0,15.0,14.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,11,4,8,8,2,8.0,33
194,10082,2007-04-15,Haze,0.5853658536585367,0.0,0.0,0.265625,0.23507462686567224,0.0,0.0,34.5,0.0,0.0,0.03333333333333333,0.05,2007.0,4.0,15.0,15.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,13,4,9,8,2,9.0,33
195,10086,2007-04-16,Haze,0.5487804878048781,0.0,0.0,0.21875,0.22014925373134364,0.0,0.0,35.0,0.0,0.0,0.03333333333333333,0.12567567567567567,2007.0,4.0,16.0,16.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,12,3,7,8,5,9.0,33
196,10090,2007-04-17,Haze,0.6585365853658537,0.0,0.0,0.3020833333333333,0.20522388059701546,0.0,0.0,36.0,0.0,0.0,0.03333333333333333,0.07567567567567568,2007.0,4.0,16.0,17.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,15,5,5,8,3,9.0,33
197,10094,2007-04-18,Haze,0.5365853658536586,0.0,0.0,0.26041666666666663,0.25000000000000044,0.0,0.0,32.0,0.0,0.0,0.03333333333333333,0.17567567567567569,2007.0,4.0,16.0,18.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,11,4,10,8,7,8.0,33
198,10098,2007-04-19,Haze,0.5853658536585367,0.0,0.0,0.2708333333333333,0.2313432835820901,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.05,2007.0,4.0,16.0,19.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,13,5,8,8,2,9.0,33
199,10102,2007-04-20,Haze,0.5365853658536586,0.0,0.0,0.2083333333333333,0.21641791044776149,0.0,0.0,34.5,0.0,0.0,0.03333333333333333,0.1256756756756757,2007.0,4.0,16.0,20.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,11,3,7,8,5,9.0,33
200,10106,2007-04-21,Haze,0.4878048780487805,0.0,0.0,0.171875,0.20522388059701505,0.0,0.0,34.5,0.0,0.0,0.03333333333333333,0.1,2007.0,4.0,16.0,21.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,9,2,5,8,4,9.0,33
201,10110,2007-04-22,Haze,0.4634146341463415,0.0,0.0,0.17708333333333331,0.19776119402985115,0.0,0.0,35.0,0.0,0.0,0.03333333333333333,0.15,2007.0,4.0,16.0,22.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07322330470336302,0.32322330470336325,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,9,2,5,8,6,9.0,33
